time	V(vout)	I(L1)
0.000000000000000e+00	7.127994e-10	4.949996e-11
1.000000000000000e-08	7.127994e-10	4.949997e-11
1.002146389990399e-08	7.127994e-10	2.674377e-11
1.006439169971198e-08	7.127992e-10	-6.700897e-11
1.009105742897564e-08	7.127989e-10	-1.872620e-10
1.011798244601864e-08	7.127983e-10	-4.142103e-10
1.015530325822500e-08	7.127962e-10	-9.507145e-10
1.020442771003743e-08	7.127903e-10	-2.154137e-09
1.027093579503662e-08	7.127726e-10	-4.949856e-09
1.035791113648546e-08	7.127198e-10	-1.125302e-08
1.047456102208769e-08	7.125583e-10	-2.583014e-08
1.062880740917186e-08	7.120686e-10	-5.908432e-08
1.083630646620499e-08	7.105523e-10	-1.361942e-07
1.111429698673356e-08	7.058495e-10	-3.141741e-07
1.149219663423312e-08	6.909667e-10	-7.304670e-07
1.200833500767805e-08	6.432203e-10	-1.707307e-06
1.272600640918570e-08	5.189513e-10	-3.765665e-06
1.313299459231883e-08	4.062125e-10	-5.351955e-06
1.341057798862657e-08	2.970465e-10	-6.693826e-06
1.370363477010507e-08	1.499950e-10	-8.299876e-06
1.400346151105181e-08	-4.359135e-11	-1.010572e-05
1.460311499294528e-08	-5.479616e-10	-1.400089e-05
1.525709022824130e-08	-1.278225e-09	-1.850288e-05
1.614107525800890e-08	-2.527005e-09	-2.484259e-05
1.653516923824192e-08	-3.190118e-09	-2.767476e-05
1.685638096195047e-08	-3.798990e-09	-2.975964e-05
1.707248637457379e-08	-4.231364e-09	-3.058512e-05
1.727371607801050e-08	-4.642362e-09	-3.051751e-05
1.732409902517938e-08	-4.744692e-09	-3.022100e-05
1.737237831277191e-08	-4.841302e-09	-2.968936e-05
1.740290480770783e-08	-4.901507e-09	-2.925918e-05
1.741980351574549e-08	-4.934398e-09	-2.898169e-05
1.743143422817256e-08	-4.956816e-09	-2.877317e-05
1.744029363904960e-08	-4.973767e-09	-2.860502e-05
1.744963698600308e-08	-4.991528e-09	-2.841950e-05
1.745837988726597e-08	-5.008034e-09	-2.823830e-05
1.746945972418836e-08	-5.028777e-09	-2.799735e-05
1.748449657352195e-08	-5.056602e-09	-2.765026e-05
1.750698329357058e-08	-5.097391e-09	-2.708432e-05
1.754664786527721e-08	-5.166549e-09	-2.594381e-05
1.761813126387843e-08	-5.279509e-09	-2.339615e-05
1.776109806108086e-08	-5.441750e-09	-1.630345e-05
1.804703165548573e-08	-5.445417e-09	4.932661e-06
1.848414478370271e-08	-4.439019e-09	5.252965e-05
1.899674417248114e-08	-1.344075e-09	1.272554e-04
1.946658639761503e-08	3.973883e-09	2.098157e-04
2.000000000000000e-08	1.243344e-08	3.121308e-04
2.005334136023850e-08	1.359450e-08	3.229105e-04
2.016002408071549e-08	1.603253e-08	3.445989e-04
2.037338952166948e-08	2.148250e-08	3.885920e-04
2.080012040357746e-08	3.479398e-08	4.790161e-04
2.165358216739342e-08	6.856902e-08	6.666977e-04
